"filename", "language", "Dart", "comment", "blank", "total"
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\classes\http\http_service.dart", "Dart", 53, 8, 7, 68
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\constants\controllers.dart", "Dart", 5, 0, 3, 8
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\constants\style.dart", "Dart", 10, 4, 4, 18
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\controllers\counterController.dart", "Dart", 7, 2, 3, 12
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\controllers\navigation_controller.dart", "Dart", 10, 0, 4, 14
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\data\actuators_model.dart", "Dart", 10, 0, 3, 13
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\data\overview_data.dart", "Dart", 5, 1, 3, 9
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\data\settings_parameters.dart", "Dart", 1, 0, 3, 4
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\data\states_data.dart", "Dart", 35, 2, 8, 45
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\helpers\local_navigator.dart", "Dart", 9, 0, 2, 11
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\helpers\responsivness.dart", "Dart", 49, 2, 10, 61
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\layout.dart", "Dart", 24, 1, 3, 28
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\main.dart", "Dart", 49, 3, 9, 61
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\authentication\authentication.dart", "Dart", 27, 1, 4, 32
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\manual_operations\manual_operations.dart", "Dart", 43, 0, 2, 45
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\manual_operations\widget\manual_operation_group.dart", "Dart", 157, 110, 8, 275
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\manual_operations\widget\manual_operations_large.dart", "Dart", 90, 51, 8, 149
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\manual_operations\widget\manual_operations_medium.dart", "Dart", 0, 0, 1, 1
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\manual_operations\widget\manual_operations_small.dart", "Dart", 0, 0, 1, 1
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\overview\overview.dart", "Dart", 45, 0, 3, 48
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\overview\widgets\info_card.dart", "Dart", 66, 0, 4, 70
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\overview\widgets\info_card_small.dart", "Dart", 49, 0, 4, 53
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\overview\widgets\overview_cards_large.dart", "Dart", 62, 0, 4, 66
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\overview\widgets\overview_cards_medium.dart", "Dart", 71, 0, 5, 76
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\overview\widgets\overview_cards_small.dart", "Dart", 65, 1, 5, 71
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\settings\settings.dart", "Dart", 27, 1, 4, 32
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\states\states.dart", "Dart", 44, 0, 2, 46
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\states\widgets\states_datatable.dart", "Dart", 168, 27, 14, 209
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\states\widgets\states_large.dart", "Dart", 55, 28, 5, 88
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\states\widgets\states_medium.dart", "Dart", 0, 0, 1, 1
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\pages\states\widgets\states_small.dart", "Dart", 45, 1, 5, 51
"d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\routing\router.dart", "Dart", 27, 1, 9, 37
