Date : 2021-11-11 16:11:30
Directory : d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1
Total : 80 files,  2995 codes, 446 comments, 445 blanks, all 3886 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         46 |      2,054 |        212 |        237 |      2,503 |
| C++        |         11 |        405 |         80 |        132 |        617 |
| JSON       |          3 |        180 |          0 |          3 |        183 |
| XML        |          9 |        126 |         52 |         13 |        191 |
| Groovy     |          3 |         86 |          3 |         22 |        111 |
| HTML       |          1 |         79 |         17 |          6 |        102 |
| YAML       |          2 |         32 |         81 |         19 |        132 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                    |         80 |      2,995 |        446 |        445 |      3,886 |
| android                                                                                                                              |         12 |        159 |         54 |         35 |        248 |
| android\app                                                                                                                          |          8 |        118 |         53 |         24 |        195 |
| android\app\src                                                                                                                      |          7 |         65 |         50 |         11 |        126 |
| android\app\src\debug                                                                                                                |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                                                 |          5 |         57 |         44 |          9 |        110 |
| android\app\src\main\res                                                                                                             |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                                    |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                                |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                      |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                                |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                              |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                                       |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                               |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                                  |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                                           |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                                                           |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                        |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                      |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                                |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                  |         45 |      2,040 |        202 |        230 |      2,472 |
| lib\classes                                                                                                                          |          1 |         56 |          8 |          7 |         71 |
| lib\classes\http                                                                                                                     |          1 |         56 |          8 |          7 |         71 |
| lib\constants                                                                                                                        |          2 |         14 |          4 |          7 |         25 |
| lib\controllers                                                                                                                      |          2 |         17 |          2 |          7 |         26 |
| lib\data                                                                                                                             |          5 |        110 |          3 |         31 |        144 |
| lib\helpers                                                                                                                          |          2 |         58 |          2 |         12 |         72 |
| lib\pages                                                                                                                            |         20 |      1,269 |        165 |         95 |      1,529 |
| lib\pages\authentication                                                                                                             |          1 |         27 |          1 |          4 |         32 |
| lib\pages\manual_operations                                                                                                          |          7 |        503 |        127 |         34 |        664 |
| lib\pages\manual_operations\widget                                                                                                   |          6 |        454 |        127 |         31 |        612 |
| lib\pages\overview                                                                                                                   |          6 |        358 |          1 |         25 |        384 |
| lib\pages\overview\widgets                                                                                                           |          5 |        313 |          1 |         22 |        336 |
| lib\pages\settings                                                                                                                   |          1 |         27 |          1 |          4 |         32 |
| lib\pages\states                                                                                                                     |          5 |        354 |         35 |         28 |        417 |
| lib\pages\states\widgets                                                                                                             |          4 |        310 |         35 |         26 |        371 |
| lib\routing                                                                                                                          |          2 |         39 |          1 |         11 |         51 |
| lib\widgets                                                                                                                          |          9 |        405 |         12 |         48 |        465 |
| test                                                                                                                                 |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                                  |          2 |        114 |         17 |          7 |        138 |
| windows                                                                                                                              |         10 |        404 |         80 |        131 |        615 |
| windows\flutter                                                                                                                      |          2 |          8 |          9 |         11 |         28 |
| windows\runner                                                                                                                       |          8 |        396 |         71 |        120 |        587 |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                             | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\README.md                                                        | Markdown   |         10 |          0 |          7 |         17 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\analysis_options.yaml                                            | YAML       |          3 |         23 |          4 |         30 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\android\app\build.gradle                                         | Groovy     |         53 |          3 |         13 |         69 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\android\app\src\debug\AndroidManifest.xml                        | XML        |          4 |          3 |          1 |          8 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\android\app\src\main\AndroidManifest.xml                         | XML        |         31 |         12 |          3 |         46 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\android\app\src\main\res\drawable-v21\launch_background.xml      | XML        |          4 |          7 |          2 |         13 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\android\app\src\main\res\drawable\launch_background.xml          | XML        |          4 |          7 |          2 |         13 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\android\app\src\main\res\values-night\styles.xml                 | XML        |          9 |          9 |          1 |         19 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\android\app\src\main\res\values\styles.xml                       | XML        |          9 |          9 |          1 |         19 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\android\app\src\profile\AndroidManifest.xml                      | XML        |          4 |          3 |          1 |          8 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\android\build.gradle                                             | Groovy     |         25 |          0 |          5 |         30 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\android\gradle.properties                                        | Properties |          3 |          0 |          1 |          4 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\android\gradle\wrapper\gradle-wrapper.properties                 | Properties |          5 |          1 |          1 |          7 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\android\settings.gradle                                          | Groovy     |          8 |          0 |          4 |         12 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\ios\Runner\AppDelegate.swift                                     | Swift      |         12 |          0 |          2 |         14 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json      | JSON       |        122 |          0 |          1 |        123 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json    | JSON       |         23 |          0 |          1 |         24 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md        | Markdown   |          3 |          0 |          2 |          5 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\ios\Runner\Base.lproj\LaunchScreen.storyboard                    | XML        |         36 |          1 |          1 |         38 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\ios\Runner\Base.lproj\Main.storyboard                            | XML        |         25 |          1 |          1 |         27 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\ios\Runner\Runner-Bridging-Header.h                              | C++        |          1 |          0 |          1 |          2 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\classes\http\http_service.dart                               | Dart       |         56 |          8 |          7 |         71 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\constants\controllers.dart                                   | Dart       |          4 |          0 |          3 |          7 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\constants\style.dart                                         | Dart       |         10 |          4 |          4 |         18 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\controllers\counterController.dart                           | Dart       |          7 |          2 |          3 |         12 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\controllers\navigation_controller.dart                       | Dart       |         10 |          0 |          4 |         14 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\data\global.dart                                             | Dart       |          1 |          0 |          1 |          2 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\data\manual_operation_data.dart                              | Dart       |         63 |          0 |         17 |         80 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\interface_example1\lib\data\overview_data.dart                                      | Dart       |          5 |          1 |          3 |          9 |
