Date : 2021-11-24 09:35:28
Directory : d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard
Total : 100 files,  4775 codes, 5941 comments, 659 blanks, all 11375 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         66 |      3,832 |      5,707 |        453 |      9,992 |
| C++        |         11 |        405 |         80 |        132 |        617 |
| JSON       |          3 |        180 |          0 |          3 |        183 |
| XML        |          9 |        126 |         52 |         13 |        191 |
| Groovy     |          3 |         86 |          3 |         22 |        111 |
| HTML       |          1 |         79 |         17 |          6 |        102 |
| YAML       |          2 |         34 |         81 |         17 |        132 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                           |        100 |      4,775 |      5,941 |        659 |     11,375 |
| android                                                                                                                     |         12 |        159 |         54 |         35 |        248 |
| android\app                                                                                                                 |          8 |        118 |         53 |         24 |        195 |
| android\app\src                                                                                                             |          7 |         65 |         50 |         11 |        126 |
| android\app\src\debug                                                                                                       |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                                        |          5 |         57 |         44 |          9 |        110 |
| android\app\src\main\res                                                                                                    |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                           |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                       |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                             |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                       |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                     |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                              |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                      |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                         |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                                  |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                                                  |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                               |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                             |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                       |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                         |         65 |      3,818 |      5,697 |        446 |      9,961 |
| lib\classes                                                                                                                 |          2 |         83 |         15 |         14 |        112 |
| lib\classes\http                                                                                                            |          2 |         83 |         15 |         14 |        112 |
| lib\constants                                                                                                               |          2 |        115 |         18 |         17 |        150 |
| lib\controllers                                                                                                             |          1 |         10 |          0 |          4 |         14 |
| lib\data_models                                                                                                             |          6 |        177 |          2 |         51 |        230 |
| lib\helpers                                                                                                                 |          2 |         58 |          1 |         11 |         70 |
| lib\pages                                                                                                                   |         28 |      2,121 |        168 |        160 |      2,449 |
| lib\pages\Parameters                                                                                                        |          7 |        500 |          1 |         40 |        541 |
| lib\pages\Parameters\widget                                                                                                 |          6 |        454 |          1 |         37 |        492 |
| lib\pages\authentication                                                                                                    |          1 |        145 |          0 |          2 |        147 |
| lib\pages\manual_operations                                                                                                 |          8 |        468 |          9 |         36 |        513 |
| lib\pages\manual_operations\widget                                                                                          |          7 |        415 |          9 |         34 |        458 |
| lib\pages\overview                                                                                                          |          6 |        456 |         18 |         33 |        507 |
| lib\pages\overview\widgets                                                                                                  |          5 |        409 |         18 |         31 |        458 |
| lib\pages\settings                                                                                                          |          1 |         29 |          0 |          3 |         32 |
| lib\pages\states                                                                                                            |          5 |        523 |        140 |         46 |        709 |
| lib\pages\states\widgets                                                                                                    |          4 |        477 |        136 |         43 |        656 |
| lib\routing                                                                                                                 |          2 |         44 |          0 |         11 |         55 |
| lib\widgets                                                                                                                 |         20 |      1,148 |      5,493 |        171 |      6,812 |
| lib\widgets\custom                                                                                                          |          8 |        714 |         11 |         87 |        812 |
| lib\widgets\spacer                                                                                                          |          4 |         36 |          4 |          8 |         48 |
| test                                                                                                                        |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                         |          2 |        114 |         17 |          7 |        138 |
| windows                                                                                                                     |         10 |        404 |         80 |        131 |        615 |
| windows\flutter                                                                                                             |          2 |          8 |          9 |         11 |         28 |
| windows\runner                                                                                                              |          8 |        396 |         71 |        120 |        587 |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                    | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\README.md                                                        | Markdown   |         10 |          0 |          7 |         17 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\analysis_options.yaml                                            | YAML       |          3 |         23 |          4 |         30 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\app\build.gradle                                         | Groovy     |         53 |          3 |         13 |         69 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\app\src\debug\AndroidManifest.xml                        | XML        |          4 |          3 |          1 |          8 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\app\src\main\AndroidManifest.xml                         | XML        |         31 |         12 |          3 |         46 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\app\src\main\res\drawable-v21\launch_background.xml      | XML        |          4 |          7 |          2 |         13 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\app\src\main\res\drawable\launch_background.xml          | XML        |          4 |          7 |          2 |         13 |
